gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3053709203	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2016_2016-1-11_T8_PM_3455	Animalia	Chordata	Aves	Galliformes	Phasianidae	Pavo	Pavo muticus		SPECIES	Pavo muticus Linnaeus, 1766	Pavo muticus		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.27612	106.88901	707.1						2016-01-11	11	1	2016	2473599	2473599	HUMAN_OBSERVATION							CC_BY_4_0		Vorn Vuth			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709202	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2011_2011-3-24_T25_1203	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Muntiacus	Muntiacus muntjak		SPECIES	Muntiacus vaginalis (Boddaert, 1785)	Muntiacus vaginalis		KH	Keo Seima Wildlife Sanctuary		PRESENT	2	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.40123	106.88921	707.1						2011-03-24	24	3	2011	5787082	2440943	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709201	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2018_2018-4-1_T6_PM_4231	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	3	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.27955	106.89236	707.1						2018-04-01	1	4	2018	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709200	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2013_2013-4-28_T36_PM_2089	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca leonina		SPECIES	Macaca leonina (Blyth, 1863)	Macaca leonina		KH	Keo Seima Wildlife Sanctuary		PRESENT	9	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.33102	106.95149	707.1						2013-04-28	28	4	2013	4267148	4267148	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709199	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2013_2013-4-28_T36_PM_2087	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca leonina		SPECIES	Macaca leonina (Blyth, 1863)	Macaca leonina		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.45986	107.02407	707.1						2013-04-28	28	4	2013	4267148	4267148	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709198	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2013_2013-4-28_T36_PM_2086	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	3	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.46092	107.01505	707.1						2013-04-28	28	4	2013	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709197	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2016_2016-3-6_T40_PM_3731	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Muntiacus	Muntiacus muntjak		SPECIES	Muntiacus vaginalis (Boddaert, 1785)	Muntiacus vaginalis		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.33142	107.07709	707.1						2016-03-06	6	3	2016	5787082	2440943	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709196	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2010_2010-3-8_T5_395	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	4	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.21729	106.95765	707.1						2010-03-08	8	3	2010	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Houen Seang Lay			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709195	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2011_2011-3-24_T25_1202	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Muntiacus	Muntiacus muntjak		SPECIES	Muntiacus vaginalis (Boddaert, 1785)	Muntiacus vaginalis		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.40171	106.83621	707.1						2011-03-24	24	3	2011	5787082	2440943	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709194	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2010_2010-3-8_T5_398	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca fascicularis		SPECIES	Macaca fascicularis (Raffles, 1821)	Macaca fascicularis		KH	Keo Seima Wildlife Sanctuary		PRESENT	4	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.26959	107.0232	707.1						2010-03-08	8	3	2010	2436603	2436603	HUMAN_OBSERVATION							CC_BY_4_0		Houen Seang Lay			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709193	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2010_2010-3-8_T5_397	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	4	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.21168	106.96003	707.1						2010-03-08	8	3	2010	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Houen Seang Lay			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709192	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2013_2013-1-27_T12_AM_1629	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca leonina		SPECIES	Macaca leonina (Blyth, 1863)	Macaca leonina		KH	Keo Seima Wildlife Sanctuary		PRESENT	2	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.14673	106.95298	707.1						2013-01-27	27	1	2013	4267148	4267148	HUMAN_OBSERVATION							CC_BY_4_0		Orn Samart			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709191	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2010_2010-3-8_T5_396	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	4	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.2083	106.95155	707.1						2010-03-08	8	3	2010	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Houen Seang Lay			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709190	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2014_2014-2-16_T7_AM_2316	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	Macaca leonina		SPECIES	Macaca leonina (Blyth, 1863)	Macaca leonina		KH	Keo Seima Wildlife Sanctuary		PRESENT	3	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.20783	107.07585	707.1						2014-02-16	16	2	2014	4267148	4267148	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709189	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2010_2010-3-9_T4_411	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	4	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.21726	106.89573	707.1						2010-03-09	9	3	2010	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709188	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2016_2015-12-6_T3_PM_3218	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.1462	107.02032	707.1						2015-12-06	6	12	2015	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Vorn Vuth			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709187	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2010_2010-3-9_T4_412	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	5	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.21492	106.9593	707.1						2010-03-09	9	3	2010	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709186	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2016_2015-12-6_T3_PM_3219	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	5	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.20886	107.08492	707.1						2015-12-06	6	12	2015	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Vorn Vuth			2025-10-08T02:31:47.111Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709185	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2014_2014-5-6_T6_AM_3109	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	13	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.20868	107.02275	707.1						2014-05-06	6	5	2014	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Sorn Chanthoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709184	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2018_2018-1-30_T7_PM_4000	Animalia	Chordata	Mammalia	Artiodactyla	Cervidae	Muntiacus	Muntiacus muntjak		SPECIES	Muntiacus vaginalis (Boddaert, 1785)	Muntiacus vaginalis		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.21334	107.08467	707.1						2018-01-30	30	1	2018	5787082	2440943	HUMAN_OBSERVATION							CC_BY_4_0		Sorn Chanthoeun			2025-10-08T02:31:47.111Z		CONTINENT_DERIVED_FROM_COORDINATES
3053709183	bcaaf133-5433-46ab-b2e3-a1a9f4ce84d1	2010_2010-3-9_T4_410	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	Pygathrix nigripes		SPECIES	Pygathrix nigripes (A.Milne-Edwards, 1871)	Pygathrix nigripes		KH	Keo Seima Wildlife Sanctuary		PRESENT	1	63f24eac-c76b-4425-9925-e1fbebec6ab2	12.21477	106.89774	707.1						2010-03-09	9	3	2010	4267166	4267166	HUMAN_OBSERVATION							CC_BY_4_0		Sot Vandoeun			2025-10-08T02:31:47.112Z		CONTINENT_DERIVED_FROM_COORDINATES
